Informacion_Taxonomica,,,,
Codigo TAXONOMICO,ID Taxonomia,ESTADO TAXONOMICO,RANGO DE TAXON,TAXON OBSERVACIONES
CS114,T114,Aceptado,Especie, Sphagnum sonsonense | Nuevo taxón incluido
CS115,T115,Aceptado,Especie, Sphagnum squarrosum | Nuevo taxón incluido
CS116,T116,Aceptado,Especie, Sphagnum sumapazense | Nuevo taxón incluido
CS117,T117,Aceptado,Especie, Neesioscyphus allionii | Corrección ortográfica | Pasa de VU a CR
CS118,T118,Aceptado,Especie, Ruizanthus venezuelanus
CS119,T119,Aceptado,Especie, Nowellia curvifolia | Pasa de VU a EN
CS120,T120,Aceptado,Especie, Cephaloziella divaricata | Pasa de VU a CR
CS121,T121,Aceptado,Especie, Cephaloziopsis intertexta | Pasa de VU a EN
CS122,T122,Aceptado,Especie, Bazzania denticulifera | Nuevo taxón incluido
CS123,T123,Aceptado,Especie, Micropterygium longicellulatum | Nuevo taxón incluido
CS124,T124,Aceptado,Especie, Chaetocolea palmata
CS125,T125,Aceptado,Especie, Temnoma chaetophyllum | Corrección ortográfica | Pasa de VU a CR
CS126,T126,Aceptado,Especie, Metzgeria lechleri | Pasa de VU a EN
CS127,T127,Aceptado,Especie, Blepharolejeunea saccata | Pasa de VU a CR
CS128,T128,Aceptado,Especie, Ceratolejeunea globulifera | Pasa de VU a EN
CS129,T129,Aceptado,Especie, Cheilolejeunea aurifera
CS130,T130,Aceptado,Especie, Cheilolejeunea tonduzana
CS131,T131,Aceptado,Especie, Cololejeunea minuscula
CS132,T132,Aceptado,Especie, Cololejeunea papilliloba | Corrección ortográfica | Mantiene categoría Resolución 1912 de 2017
CS133,T133,Aceptado,Especie, Cololejeunea sicifolia
CS134,T134,Aceptado,Especie, Colura cylindrica | Pasa de VU a EN
CS135,T135,Aceptado,Especie, Dibrachiella bischleriana | Nuevo taxón incluido
CS136,T136,Aceptado,Especie, Lejeunea inflexiloba | Nuevo taxón incluido
CS137,T137,Aceptado,Especie, Prionolejeunea magnistipula | Nuevo taxón incluido
CS138,T138,Aceptado,Especie, Porella brachiata
CS139,T139,Aceptado,Especie, Riccia weinionis | Pasa de VU a CR
CS140,T140,Aceptado,Especie, Alsophila esmeraldensis | Nuevo taxón incluido
CS141,T141,Aceptado,Especie, Alsophila imrayana | Nuevo taxón incluido
CS142,T142,Aceptado,Especie, Alsophila incana | Nuevo taxón incluido
CS143,T143,Aceptado,Especie, Alsophila paucifolia
CS144,T144,Aceptado,Especie, Alsophila rupestris | Nuevo taxón incluido
CS145,T145,Aceptado,Especie, Cyathea acutidens | Nuevo taxón incluido
CS146,T146,Aceptado,Especie, Cyathea aemula | Nuevo taxón incluido
CS147,T147,Aceptado,Especie, Cyathea antioquensis | Nuevo taxón incluido
CS148,T148,Aceptado,Especie, Cyathea arborea | Nuevo taxón incluido
CS149,T149,Aceptado,Especie, Cyathea boconensis | Nuevo taxón incluido
CS150,T150,Aceptado,Especie, Cyathea callejasii | Nuevo taxón incluido
CS151,T151,Aceptado,Especie, Cyathea cardenasii | Nuevo taxón incluido
CS152,T152,Aceptado,Especie, Cyathea cervantesiana | Nuevo taxón incluido
CS153,T153,Aceptado,Especie, Cyathea clandestina | Nuevo taxón incluido
CS154,T154,Aceptado,Especie, Cyathea coloradoana | Nuevo taxón incluido
CS155,T155,Aceptado,Especie, Cyathea eggersii | Nuevo taxón incluido
CS156,T156,Aceptado,Especie, Cyathea giraldoi | Nuevo taxón incluido
CS157,T157,Aceptado,Especie, Cyathea gracilis | Nuevo taxón incluido
CS158,T158,Aceptado,Especie, Cyathea guentheriana | Nuevo taxón incluido
CS159,T159,Aceptado,Especie, Cyathea haughtii | Nuevo taxón incluido
CS160,T160,Aceptado,Especie, Cyathea kalbreyeri | Nuevo taxón incluido
CS161,T161,Aceptado,Especie, Cyathea kessleriana | Nuevo taxón incluido
CS162,T162,Aceptado,Especie, Cyathea lindigii | Nuevo taxón incluido
CS163,T163,Aceptado,Especie, Cyathea longipetiolulata | Nuevo taxón incluido
CS164,T164,Aceptado,Especie, Cyathea minuta | Nuevo taxón incluido
CS165,T165,Aceptado,Especie, Cyathea nodulifera | Nuevo taxón incluido
CS166,T166,Aceptado,Especie, Cyathea oblonga | Nuevo taxón incluido
CS167,T167,Aceptado,Especie, Cyathea obnoxia | Nuevo taxón incluido
CS168,T168,Aceptado,Especie, Cyathea pacis | Nuevo taxón incluido
CS169,T169,Aceptado,Especie, Cyathea pholidota | Nuevo taxón incluido
CS170,T170,Aceptado,Especie, Cyathea pilozana | Nuevo taxón incluido
CS171,T171,Aceptado,Especie, Cyathea pinnuloides | Nuevo taxón incluido
CS172,T172,Aceptado,Especie, Cyathea prosopioides | Nuevo taxón incluido
CS173,T173,Aceptado,Especie, Cyathea renjifoi | Nuevo taxón incluido
CS174,T174,Aceptado,Especie, Cyathea retanae | Nuevo taxón incluido
CS175,T175,Aceptado,Especie, Cyathea rodriguezii | Nuevo taxón incluido
CS176,T176,Aceptado,Especie, Cyathea singularis | Nuevo taxón incluido
CS177,T177,Aceptado,Especie, Cyathea straminea | Nuevo taxón incluido
CS178,T178,Aceptado,Especie, Cyathea tejedoris | Nuevo taxón incluido
CS179,T179,Aceptado,Especie, Cyathea toroii | Nuevo taxón incluido
CS180,T180,Aceptado,Especie, Cyathea uleana | Nuevo taxón incluido
CS181,T181,Aceptado,Especie, Cyathea uregoana | Nuevo taxón incluido
CS182,T182,Aceptado,Especie, Cyathea varians | Nuevo taxón incluido
CS183,T183,Aceptado,Especie, Cyathea werffii | Nuevo taxón incluido
CS184,T184,Aceptado,Especie, Dicksonia lehnertiana | Nuevo taxón incluido
CS185,T185,Aceptado,Especie, Dicksonia stuebelii | Nuevo taxón incluido
CS186,T186,Aceptado,Especie, Zamia amplifolia
CS187,T187,Aceptado,Especie, Zamia disodon
CS188,T188,Aceptado,Especie, Zamia encephalartoides
CS189,T189,Aceptado,Especie, Zamia huilensis
CS190,T190,Aceptado,Especie, Zamia incognita
CS191,T191,Aceptado,Especie, Zamia melanorrhachis
CS192,T192,Aceptado,Especie, Zamia montana
CS193,T193,Aceptado,Especie, Zamia oligodonta
CS194,T194,Aceptado,Especie, Zamia pyrophylla
CS195,T195,Aceptado,Especie, Zamia restrepoi
CS196,T196,Aceptado,Especie, Zamia tolimensis
CS197,T197,Aceptado,Especie, Zamia wallisii
CS198,T198,Aceptado,Especie, Podocarpus guatemalensis
CS199,T199,Aceptado,Especie, Podocarpus oleifolius
CS200,T200,Aceptado,Especie, Prumnopitys harmsiana
CS201,T201,Aceptado,Especie, Prumnopitys montana
CS202,T202,Aceptado,Especie, Myrrhidendron pennellii | Nuevo taxón incluido
CS203,T203,Aceptado,Especie, Dendropanax glaberrimus | Nuevo taxón incluido
CS204,T204,Aceptado,Especie, Dendropanax lehmannii | Nuevo taxón incluido
CS205,T205,Aceptado,Especie, Dendropanax pachypodus | Nuevo taxón incluido
CS206,T206,Aceptado,Especie, Oreopanax acerifolius | Nuevo taxón incluido
CS207,T207,Aceptado,Especie, Oreopanax brunneus | Nuevo taxón incluido
CS208,T208,Aceptado,Especie, Oreopanax cyclophyllus | Nuevo taxón incluido
CS209,T209,Aceptado,Especie, Oreopanax fontqueranus | Nuevo taxón incluido
CS210,T210,Aceptado,Especie, Oreopanax gargantae | Nuevo taxón incluido
CS211,T211,Aceptado,Especie, Oreopanax hypargyreus | Nuevo taxón incluido
CS212,T212,Aceptado,Especie, Oreopanax killipii | Nuevo taxón incluido
CS213,T213,Aceptado,Especie, Oreopanax lawrancei | Nuevo taxón incluido
CS214,T214,Aceptado,Especie, Oreopanax niger | Nuevo taxón incluido
CS215,T215,Aceptado,Especie, Oreopanax ruizanus | Nuevo taxón incluido
CS216,T216,Aceptado,Especie, Oreopanax sucrensis | Nuevo taxón incluido
CS217,T217,Aceptado,Especie, Oreopanax trianae | Nuevo taxón incluido
CS218,T218,Aceptado,Especie, Oreopanax velutinus | Nuevo taxón incluido
CS219,T219,Sinónimo,Especie, Schefflera bifurcata | Nuevo taxón incluido
CS220,T220,Aceptado,Especie, Schefflera calyptricuspidata | Nuevo taxón incluido
CS221,T221,Sinónimo,Especie, Schefflera connata | Nuevo taxón incluido
CS222,T222,Aceptado,Especie, Schefflera digyna | Nuevo taxón incluido
CS223,T223,Aceptado,Especie, Schefflera heterotricha | Nuevo taxón incluido
CS224,T224,Aceptado,Especie, Schefflera paniculitomentosa | Nuevo taxón incluido
CS225,T225,Aceptado,Especie, Schefflera samariana | Nuevo taxón incluido
CS226,T226,Aceptado,Especie, Schefflera sararensis | Nuevo taxón incluido
CS227,T227,Aceptado,Especie, Ilex bullata | Nuevo taxón incluido
CS228,T228,Aceptado,Especie, Ilex gale | Nuevo taxón incluido
CS229,T229,Aceptado,Especie, Ilex mucronulata | Nuevo taxón incluido
CS230,T230,Aceptado,Especie, Ilex pustulosa | Nuevo taxón incluido
CS231,T231,Aceptado,Especie, Ilex velutinulosa | Nuevo taxón incluido
CS232,T232,Aceptado,Especie, Citronella silvatica | Nuevo taxón incluido
CS233,T233,Aceptado,Especie, Aequatorium latibracteolatum | Nuevo taxón incluido
CS234,T234,Aceptado,Especie, Coespeletia laxiflora
CS235,T235,Aceptado,Especie, Critoniopsis cinerea | Nuevo taxón incluido
CS236,T236,Aceptado,Especie, Critoniopsis cuatrecasasii | Nuevo taxón incluido
CS237,T237,Aceptado,Especie, Critoniopsis franciscana | Nuevo taxón incluido
CS238,T238,Aceptado,Especie, Critoniopsis glandulata | Nuevo taxón incluido
CS239,T239,Aceptado,Especie, Critoniopsis popayanensis | Nuevo taxón incluido
CS240,T240,Aceptado,Especie, Critoniopsis uribei | Nuevo taxón incluido
CS241,T241,Aceptado,Especie, Critoniopsis ursicola | Nuevo taxón incluido
CS242,T242,Aceptado,Especie, Diplostephium dentatum | Nuevo taxón incluido
CS243,T243,Aceptado,Especie, Diplostephium ellipticum | Nuevo taxón incluido
CS244,T244,Aceptado,Especie, Diplostephium oblongifolium | Nuevo taxón incluido
CS245,T245,Aceptado,Especie, Diplostephium perijaense | Nuevo taxón incluido
CS246,T246,Aceptado,Especie, Diplostephium santamartae | Nuevo taxón incluido
CS247,T247,Aceptado,Especie, Espeletia annemariana | Nuevo taxón incluido
CS248,T248,Aceptado,Especie, Espeletia arbelaezii
CS249,T249,Aceptado,Especie, Espeletia ariana
CS250,T250,Aceptado,Especie, Espeletia azucarina
CS251,T251,Aceptado,Especie, Espeletia brachyaxiantha | Se evaluó especie en su totalidad y se elimina Espeletia brachyaxiantha subsp. pescana
CS252,T252,Aceptado,Especie, Espeletia brassicoidea | Pasa de EN a VU
CS253,T253,Aceptado,Especie, Espeletia cabrerensis | Mantiene categoría Resolución 1912 de 2017
CS254,T254,Aceptado,Especie, Espeletia cachaluensis | Nuevo taxón incluido
CS255,T255,Aceptado,Especie, Espeletia canescens | Nuevo taxón incluido
CS256,T256,Aceptado,Especie, Espeletia cayetana | Mantiene categoría Resolución 1912 de 2017
CS257,T257,Aceptado,Especie, Espeletia chocontana | Mantiene categoría Resolución 1912 de 2017
CS258,T258,Aceptado,Especie, Espeletia cleefii
CS259,T259,Aceptado,Especie, Espeletia conglomerata | Pasa de EN a VU
CS260,T260,Aceptado,Especie, Espeletia discoidea | Mantiene categoría Resolución 1912 de 2017
CS261,T261,Aceptado,Especie, Espeletia dugandii | Mantiene categoría Resolución 1912 de 2017
CS262,T262,Aceptado,Especie, Espeletia episcopalis | Nuevo taxón incluido
CS263,T263,Aceptado,Especie, Espeletia estanislana | Mantiene categoría Resolución 1912 de 2017
CS264,T264,Aceptado,Especie, Espeletia formosa | Nuevo taxón incluido
CS265,T265,Aceptado,Especie, Espeletia idroboi | Mantiene categoría Resolución 1912 de 2017
CS266,T266,Aceptado,Especie, Espeletia incana | Mantiene categoría Resolución 1912 de 2017
CS267,T267,Aceptado,Especie, Espeletia jaramilloi | Mantiene categoría Resolución 1912 de 2017
CS268,T268,Aceptado,Especie, Espeletia mirabilis | Nuevo taxón incluido
CS269,T269,Aceptado,Especie, Espeletia miradorensis | Nuevo taxón incluido
CS270,T270,Aceptado,Especie, Espeletia nemekenei | Pasa de VU a EN
CS271,T271,Aceptado,Especie, Espeletia oswaldiana | Mantiene categoría Resolución 1912 de 2017
CS272,T272,Aceptado,Especie, Espeletia paipana | Mantiene categoría Resolución 1912 de 2017
CS273,T273,Aceptado,Especie, Espeletia perijaensis | Pasa de CR a EN
CS274,T274,Aceptado,Especie, Espeletia pescana | Actualización nomenclatural
CS275,T275,Aceptado,Especie, Espeletia pulcherrima | Nuevo taxón incluido
CS276,T276,Aceptado,Especie, Espeletia raquirensis | Nuevo taxón incluido
CS277,T277,Aceptado,Especie, Espeletia roberti | Pasa de CR a EN
CS278,T278,Aceptado,Especie, Espeletia rositae | Mantiene categoría Resolución 1912 de 2017
CS279,T279,Aceptado,Especie, Espeletia schultesiana | Mantiene categoría Resolución 1912 de 2017
CS280,T280,Aceptado,Especie, Espeletia soroca | Nuevo taxón incluido
CS281,T281,Aceptado,Especie, Espeletia standleyana | Mantiene categoría Resolución 1912 de 2017
CS282,T282,Aceptado,Especie, Espeletia steyermarkii | Nuevo taxón incluido
CS283,T283,Aceptado,Especie, Espeletia summapacis | Nuevo taxón incluido
CS284,T284,Aceptado,Especie, Espeletia tibamoensis | Nuevo taxón incluido
CS285,T285,Aceptado,Especie, Espeletia tunjana | Mantiene categoría Resolución 1912 de 2017
CS286,T286,Aceptado,Especie, Espeletiopsis betancurii | Nuevo taxón incluido
CS287,T287,Aceptado,Especie, Espeletiopsis caldasii | Pasa de EN a CR
CS288,T288,Aceptado,Especie, Espeletiopsis diazii | Nuevo taxón incluido
CS289,T289,Aceptado,Especie, Espeletiopsis funckii | Pasa de VU a EN
CS290,T290,Aceptado,Especie, Espeletiopsis garciae | Pasa de EN a vU
CS291,T291,Aceptado,Especie, Espeletiopsis insignis | Pasa de CR a EN
CS292,T292,Aceptado,Especie, Espeletiopsis jimenez-quesadae | Nuevo taxón incluido
CS293,T293,Aceptado,Especie, Espeletiopsis purpurascens | Pasa de VU a EN
