id_taxonomia,estado_taxonomico,observacion_taxonomica,rango_taxonomico,codigo_clasificacion
T184,Aceptado, Dicksonia lehnertiana | Nuevo taxón incluido,Especie,CS184
T185,Aceptado, Dicksonia stuebelii | Nuevo taxón incluido,Especie,CS185
T186,Aceptado, Zamia amplifolia,Especie,CS186
T187,Aceptado, Zamia disodon,Especie,CS187
T188,Aceptado, Zamia encephalartoides,Especie,CS188
T189,Aceptado, Zamia huilensis,Especie,CS189
T190,Aceptado, Zamia incognita,Especie,CS190
T191,Aceptado, Zamia melanorrhachis,Especie,CS191
T192,Aceptado, Zamia montana,Especie,CS192
T193,Aceptado, Zamia oligodonta,Especie,CS193
T194,Aceptado, Zamia pyrophylla,Especie,CS194
T195,Aceptado, Zamia restrepoi,Especie,CS195
T196,Aceptado, Zamia tolimensis,Especie,CS196
T197,Aceptado, Zamia wallisii,Especie,CS197
T198,Aceptado, Podocarpus guatemalensis,Especie,CS198
T199,Aceptado, Podocarpus oleifolius,Especie,CS199
T200,Aceptado, Prumnopitys harmsiana,Especie,CS200
T201,Aceptado, Prumnopitys montana,Especie,CS201
T202,Aceptado, Myrrhidendron pennellii | Nuevo taxón incluido,Especie,CS202
T203,Aceptado, Dendropanax glaberrimus | Nuevo taxón incluido,Especie,CS203
T204,Aceptado, Dendropanax lehmannii | Nuevo taxón incluido,Especie,CS204
T205,Aceptado, Dendropanax pachypodus | Nuevo taxón incluido,Especie,CS205
T206,Aceptado, Oreopanax acerifolius | Nuevo taxón incluido,Especie,CS206
T207,Aceptado, Oreopanax brunneus | Nuevo taxón incluido,Especie,CS207
T208,Aceptado, Oreopanax cyclophyllus | Nuevo taxón incluido,Especie,CS208
T209,Aceptado, Oreopanax fontqueranus | Nuevo taxón incluido,Especie,CS209
T210,Aceptado, Oreopanax gargantae | Nuevo taxón incluido,Especie,CS210
T211,Aceptado, Oreopanax hypargyreus | Nuevo taxón incluido,Especie,CS211
T212,Aceptado, Oreopanax killipii | Nuevo taxón incluido,Especie,CS212
T213,Aceptado, Oreopanax lawrancei | Nuevo taxón incluido,Especie,CS213
T214,Aceptado, Oreopanax niger | Nuevo taxón incluido,Especie,CS214
T215,Aceptado, Oreopanax ruizanus | Nuevo taxón incluido,Especie,CS215
T216,Aceptado, Oreopanax sucrensis | Nuevo taxón incluido,Especie,CS216
T217,Aceptado, Oreopanax trianae | Nuevo taxón incluido,Especie,CS217
T218,Aceptado, Oreopanax velutinus | Nuevo taxón incluido,Especie,CS218
T219,Sinónimo, Schefflera bifurcata | Nuevo taxón incluido,Especie,CS219
T220,Aceptado, Schefflera calyptricuspidata | Nuevo taxón incluido,Especie,CS220
T221,Sinónimo, Schefflera connata | Nuevo taxón incluido,Especie,CS221
T222,Aceptado, Schefflera digyna | Nuevo taxón incluido,Especie,CS222
T223,Aceptado, Schefflera heterotricha | Nuevo taxón incluido,Especie,CS223
T224,Aceptado, Schefflera paniculitomentosa | Nuevo taxón incluido,Especie,CS224
T225,Aceptado, Schefflera samariana | Nuevo taxón incluido,Especie,CS225
T226,Aceptado, Schefflera sararensis | Nuevo taxón incluido,Especie,CS226
T227,Aceptado, Ilex bullata | Nuevo taxón incluido,Especie,CS227
T228,Aceptado, Ilex gale | Nuevo taxón incluido,Especie,CS228
T229,Aceptado, Ilex mucronulata | Nuevo taxón incluido,Especie,CS229
T230,Aceptado, Ilex pustulosa | Nuevo taxón incluido,Especie,CS230
T231,Aceptado, Ilex velutinulosa | Nuevo taxón incluido,Especie,CS231
T232,Aceptado, Citronella silvatica | Nuevo taxón incluido,Especie,CS232
T233,Aceptado, Aequatorium latibracteolatum | Nuevo taxón incluido,Especie,CS233
T234,Aceptado, Coespeletia laxiflora,Especie,CS234
T235,Aceptado, Critoniopsis cinerea | Nuevo taxón incluido,Especie,CS235
T236,Aceptado, Critoniopsis cuatrecasasii | Nuevo taxón incluido,Especie,CS236
T237,Aceptado, Critoniopsis franciscana | Nuevo taxón incluido,Especie,CS237
T238,Aceptado, Critoniopsis glandulata | Nuevo taxón incluido,Especie,CS238
T239,Aceptado, Critoniopsis popayanensis | Nuevo taxón incluido,Especie,CS239
T240,Aceptado, Critoniopsis uribei | Nuevo taxón incluido,Especie,CS240
T241,Aceptado, Critoniopsis ursicola | Nuevo taxón incluido,Especie,CS241
T242,Aceptado, Diplostephium dentatum | Nuevo taxón incluido,Especie,CS242
T243,Aceptado, Diplostephium ellipticum | Nuevo taxón incluido,Especie,CS243
T244,Aceptado, Diplostephium oblongifolium | Nuevo taxón incluido,Especie,CS244
T245,Aceptado, Diplostephium perijaense | Nuevo taxón incluido,Especie,CS245
T246,Aceptado, Diplostephium santamartae | Nuevo taxón incluido,Especie,CS246
T247,Aceptado, Espeletia annemariana | Nuevo taxón incluido,Especie,CS247
T248,Aceptado, Espeletia arbelaezii,Especie,CS248
T249,Aceptado, Espeletia ariana,Especie,CS249
T250,Aceptado, Espeletia azucarina,Especie,CS250
T251,Aceptado, Espeletia brachyaxiantha | Se evaluó especie en su totalidad y se elimina Espeletia brachyaxiantha subsp. pescana,Especie,CS251
T252,Aceptado, Espeletia brassicoidea | Pasa de EN a VU,Especie,CS252
T253,Aceptado, Espeletia cabrerensis | Mantiene categoría Resolución 1912 de 2017,Especie,CS253
T254,Aceptado, Espeletia cachaluensis | Nuevo taxón incluido,Especie,CS254
T255,Aceptado, Espeletia canescens | Nuevo taxón incluido,Especie,CS255
T256,Aceptado, Espeletia cayetana | Mantiene categoría Resolución 1912 de 2017,Especie,CS256
T257,Aceptado, Espeletia chocontana | Mantiene categoría Resolución 1912 de 2017,Especie,CS257
T258,Aceptado, Espeletia cleefii,Especie,CS258
T259,Aceptado, Espeletia conglomerata | Pasa de EN a VU,Especie,CS259
T260,Aceptado, Espeletia discoidea | Mantiene categoría Resolución 1912 de 2017,Especie,CS260
T261,Aceptado, Espeletia dugandii | Mantiene categoría Resolución 1912 de 2017,Especie,CS261
T262,Aceptado, Espeletia episcopalis | Nuevo taxón incluido,Especie,CS262
T263,Aceptado, Espeletia estanislana | Mantiene categoría Resolución 1912 de 2017,Especie,CS263
T264,Aceptado, Espeletia formosa | Nuevo taxón incluido,Especie,CS264
T265,Aceptado, Espeletia idroboi | Mantiene categoría Resolución 1912 de 2017,Especie,CS265
T266,Aceptado, Espeletia incana | Mantiene categoría Resolución 1912 de 2017,Especie,CS266
T267,Aceptado, Espeletia jaramilloi | Mantiene categoría Resolución 1912 de 2017,Especie,CS267
T268,Aceptado, Espeletia mirabilis | Nuevo taxón incluido,Especie,CS268
T269,Aceptado, Espeletia miradorensis | Nuevo taxón incluido,Especie,CS269
T270,Aceptado, Espeletia nemekenei | Pasa de VU a EN,Especie,CS270
T271,Aceptado, Espeletia oswaldiana | Mantiene categoría Resolución 1912 de 2017,Especie,CS271
T272,Aceptado, Espeletia paipana | Mantiene categoría Resolución 1912 de 2017,Especie,CS272
T273,Aceptado, Espeletia perijaensis | Pasa de CR a EN,Especie,CS273
T274,Aceptado, Espeletia pescana | Actualización nomenclatural,Especie,CS274
T275,Aceptado, Espeletia pulcherrima | Nuevo taxón incluido,Especie,CS275
T276,Aceptado, Espeletia raquirensis | Nuevo taxón incluido,Especie,CS276
T277,Aceptado, Espeletia roberti | Pasa de CR a EN,Especie,CS277
T278,Aceptado, Espeletia rositae | Mantiene categoría Resolución 1912 de 2017,Especie,CS278
T279,Aceptado, Espeletia schultesiana | Mantiene categoría Resolución 1912 de 2017,Especie,CS279
T280,Aceptado, Espeletia soroca | Nuevo taxón incluido,Especie,CS280
T281,Aceptado, Espeletia standleyana | Mantiene categoría Resolución 1912 de 2017,Especie,CS281
T282,Aceptado, Espeletia steyermarkii | Nuevo taxón incluido,Especie,CS282
T283,Aceptado, Espeletia summapacis | Nuevo taxón incluido,Especie,CS283
T284,Aceptado, Espeletia tibamoensis | Nuevo taxón incluido,Especie,CS284
