id_nomenclatura,estado_amenaza,codigo_int,id_amenaza
ICN,EN,396,E396
ICN,EN,397,E397
ICN,VU,398,E398
ICN,VU,399,E399
ICN,EN,400,E400
ICN,VU,401,E401
ICN,VU,402,E402
ICN,VU,403,E403
ICN,EN,404,E404
ICN,VU,405,E405
ICN,VU,406,E406
ICN,VU,407,E407
ICN,VU,408,E408
ICN,VU,409,E409
ICN,EN,410,E410
ICN,CR,411,E411
ICN,EN,412,E412
ICN,EN,413,E413
ICN,EN,414,E414
ICN,CR,415,E415
ICN,VU,416,E416
ICN,EN,417,E417
ICN,EN,418,E418
ICN,VU,419,E419
ICN,VU,420,E420
ICN,EN,421,E421
ICN,VU,422,E422
ICN,CR,423,E423
ICN,EN,424,E424
ICN,EN,425,E425
ICN,CR,426,E426
ICN,EN,427,E427
ICN,CR,428,E428
ICN,CR,429,E429
ICN,EN,430,E430
ICN,VU,431,E431
ICN,CR,432,E432
ICN,VU,433,E433
ICN,EN,434,E434
ICN,EN,435,E435
ICN,VU,436,E436
ICN,EN,437,E437
ICN,VU,438,E438
ICN,EN,439,E439
ICN,CR,440,E440
ICN,CR,441,E441
ICN,EN,442,E442
ICN,VU,443,E443
ICN,CR,444,E444
ICN,CR,445,E445
ICN,VU,446,E446
ICN,EN,447,E447
ICN,CR,448,E448
ICN,EN,449,E449
ICN,EN,450,E450
ICN,CR,451,E451
ICN,VU,452,E452
ICN,EN,453,E453
ICN,VU,454,E454
ICN,EN,455,E455
ICN,VU,456,E456
ICN,EN,457,E457
ICN,VU,458,E458
ICN,EN,459,E459
ICN,EN,460,E460
ICN,VU,461,E461
ICN,CR,462,E462
ICN,VU,463,E463
ICN,VU,464,E464
ICN,EN,465,E465
ICN,VU,466,E466
ICN,EN,467,E467
ICN,VU,468,E468
ICN,CR,469,E469
ICN,VU,470,E470
ICN,EN,471,E471
ICN,VU,472,E472
ICN,VU,473,E473
ICN,EN,474,E474
ICN,VU,475,E475
ICN,EN,476,E476
ICN,VU,477,E477
ICN,EN,478,E478
ICN,VU,479,E479
ICN,EN,480,E480
ICN,VU,481,E481
ICN,VU,482,E482
ICN,EN,483,E483
ICN,EN,484,E484
ICN,EN,485,E485
ICN,VU,486,E486
ICN,EN,487,E487
ICN,VU,488,E488
ICN,EN,489,E489
ICN,VU,490,E490
ICN,VU,491,E491
ICN,EN,492,E492
ICN,CR,493,E493
ICN,VU,494,E494
ICN,EN,495,E495
ICN,CR,496,E496
ICN,EN,497,E497
ICN,VU,498,E498
ICN,VU,499,E499
ICN,EN,500,E500
ICN,EN,501,E501
ICN,CR,502,E502
ICN,VU,503,E503
ICN,EN,504,E504
ICN,VU,505,E505
ICN,VU,506,E506
ICN,VU,507,E507
ICN,VU,508,E508
ICN,EN,509,E509
ICN,CR,510,E510
ICN,VU,511,E511
ICN,EN,512,E512
ICN,VU,513,E513
ICN,VU,514,E514
ICN,CR,515,E515
ICN,VU,516,E516
ICN,VU,517,E517
ICN,EN,518,E518
ICN,EN,519,E519
ICN,CR,520,E520
ICN,CR,521,E521
ICN,EN,522,E522
ICN,CR,523,E523
ICN,EN,524,E524
ICN,CR,525,E525
ICN,VU,526,E526
ICN,CR,527,E527
ICN,CR,528,E528
ICN,EN,529,E529
ICN,EN,530,E530
ICN,EN,531,E531
ICN,EN,532,E532
ICN,VU,533,E533
ICN,EN,534,E534
ICN,CR,535,E535
ICN,EN,536,E536
ICN,VU,537,E537
ICN,EN,538,E538
ICN,EN,539,E539
ICN,EN,540,E540
ICN,EN,541,E541
ICN,CR,542,E542
ICN,CR,543,E543
ICN,CR,544,E544
ICN,EN,545,E545
ICN,EN,546,E546
ICN,CR,547,E547
ICN,EN,548,E548
ICN,EN,549,E549
ICN,EN,550,E550
ICN,EN,551,E551
ICN,EN,552,E552
ICN,VU,553,E553
ICN,VU,554,E554
ICN,VU,555,E555
ICN,VU,556,E556
ICN,VU,557,E557
ICN,EN,558,E558
ICN,EN,559,E559
ICN,VU,560,E560
ICN,EN,561,E561
ICN,EN,562,E562
ICN,EN,563,E563
ICN,VU,564,E564
ICN,VU,565,E565
ICN,VU,566,E566
ICN,EN,567,E567
ICN,VU,568,E568
ICN,EN,569,E569
ICN,VU,570,E570
ICN,EN,571,E571
ICN,EN,572,E572
ICN,VU,573,E573
ICN,VU,574,E574
ICN,VU,575,E575
ICN,VU,576,E576
ICN,EN,577,E577
