Especies Amenazadas,,
CODIGO INTERESPECIFIDAD,ID NOMENCLATURA,ESTADO DE AMENAZA
1172,ICN,VU
1173,ICN,VU
1174,ICN,CR
1175,ICN,VU
1176,ICN,VU
1177,ICN,VU
1178,ICN,VU
1179,ICN,EN
1180,ICN,EN
1181,ICN,VU
1182,ICN,VU
1183,ICN,VU
1184,ICN,EN
1185,ICN,VU
1186,ICN,EN
1187,ICN,EN
1188,ICN,EN
1189,ICN,EN
1190,ICN,EN
1191,ICN,CR
1192,ICN,CR
1193,ICN,EN
1194,ICN,VU
1195,ICN,VU
1196,ICN,CR
1197,ICN,VU
1198,ICN,CR
1199,ICN,CR
1200,ICN,CR
1201,ICN,CR
1202,ICN,EN
1203,ICN,EN
1204,ICN,EN
1205,ICN,EN
1206,ICN,CR
1207,ICN,CR
1208,ICN,EN
1209,ICN,CR
1210,ICN,VU
1211,ICN,EN
1212,ICN,CR
1213,ICN,CR
1214,ICN,EN
1215,ICN,VU
1216,ICN,VU
1217,ICN,VU
1218,ICN,VU
1219,ICN,VU
1220,ICN,VU
1221,ICN,CR
1222,ICN,VU
1223,ICN,EN
1224,ICN,VU
1225,ICN,EN
1226,ICN,EN
1227,ICN,EN
1228,ICN,EN
1229,ICN,EN
1230,ICN,EN
1231,ICN,VU
1232,ICN,EN
1233,ICN,VU
1234,ICN,VU
1235,ICN,EN
1236,ICN,EN
1237,ICN,EN
1238,ICN,VU
1239,ICN,EN
1240,ICN,EN
1241,ICN,EN
1242,ICN,EN
1243,ICN,VU
1244,ICN,EN
1245,ICN,VU
1246,ICN,VU
1247,ICN,EN
1248,ICN,CR
1249,ICN,VU
1250,ICN,EN
1251,ICN,VU
1252,ICN,VU
1253,ICN,CR
1254,ICN,VU
1255,ICN,VU
1256,ICN,EN
1257,ICN,VU
1258,ICN,EN
1259,ICN,VU
1260,ICN,VU
1261,ICN,EN
1262,ICN,CR
1263,ICN,VU
1264,ICN,EN
1265,ICN,EN
1266,ICN,EN
1267,ICN,EN
1268,ICN,EN
1269,ICN,CR
1270,ICN,VU
1271,ICN,EN
1272,ICN,EN
1273,ICN,VU
1274,ICN,VU
1275,ICN,EN
1276,ICN,CR
1277,ICN,EN
1278,ICN,VU
1279,ICN,EN
1280,ICN,EN
1281,ICN,VU
1282,ICN,VU
1283,ICN,CR
1284,ICN,CR
1285,ICN,CR
1286,ICN,CR
1287,ICN,CR
1288,ICN,EN
1289,ICN,EN
1290,ICN,EN
1291,ICN,EN
1292,ICN,EN
1293,ICN,EN
1294,ICN,EN
1295,ICN,EN
1296,ICN,EN
1297,ICN,EN
1298,ICN,EN
1299,ICN,EN
1300,ICN,EN
1301,ICN,VU
1302,ICN,CR
1303,ICN,EN
1304,ICN,EN
1305,ICN,VU
1306,ICN,EN
1307,ICN,CR
1308,ICN,VU
1309,ICN,VU
1310,ICN,EN
1311,ICN,CR
1312,ICN,VU
1313,ICZN,CR
1314,ICZN,EN
1315,ICZN,EN
1316,ICZN,VU
1317,ICZN,VU
1318,ICZN,VU
1319,ICZN,VU
1320,ICZN,VU
1321,ICZN,VU
1322,ICZN,VU
1323,ICZN,EN
1324,ICZN,EN
1325,ICZN,EN
1326,ICZN,VU
1327,ICZN,VU
1328,ICZN,VU
1329,ICZN,VU
1330,ICZN,VU
1331,ICZN,VU
1332,ICZN,VU
1333,ICZN,EN
1334,ICZN,VU
1335,ICZN,VU
1336,ICZN,VU
1337,ICZN,VU
1338,ICZN,CR
1339,ICZN,VU
1340,ICZN,VU
1341,ICZN,VU
1342,ICZN,EN
1343,ICZN,EN
1344,ICZN,EN
1345,ICZN,EN
1346,ICZN,EN
1347,ICZN,EN
1348,ICZN,EN
1349,ICZN,EN
1350,ICZN,EN
1351,ICZN,EN
1352,ICZN,EN
1353,ICZN,EN
1354,ICZN,EN
1355,ICZN,EN
1356,ICZN,EN
1357,ICZN,EN
1358,ICZN,EN
1359,ICZN,EN
1360,ICZN,EN
1361,ICZN,EN
1362,ICZN,EN
1363,ICZN,EN
1364,ICZN,EN
1365,ICZN,EN
1366,ICZN,VU
1367,ICZN,EN
1368,ICZN,VU
1369,ICZN,VU
1370,ICZN,VU
1371,ICZN,VU
1372,ICZN,EN
1373,ICZN,VU
1374,ICZN,EN
1375,ICZN,EN
1376,ICZN,CR
1377,ICZN,EN
1378,ICZN,EN
1379,ICZN,CR
1380,ICZN,CR
1381,ICZN,CR
1382,ICZN,VU
1383,ICZN,VU
1384,ICZN,VU
1385,ICZN,VU
1386,ICZN,VU
1387,ICZN,VU
1388,ICZN,EN
1389,ICZN,EN
1390,ICZN,EN
1391,ICZN,EN
1392,ICZN,VU
1393,ICZN,EN
1394,ICZN,CR
1395,ICZN,EN
1396,ICZN,VU
1397,ICZN,VU
1398,ICZN,EN
1399,ICZN,VU
1400,ICZN,VU
1401,ICZN,VU
1402,ICZN,VU
1403,ICZN,VU
1404,ICZN,EN
1405,ICZN,EN
1406,ICZN,VU
1407,ICZN,VU
1408,ICZN,VU
1409,ICZN,CR
1410,ICZN,VU
1411,ICZN,CR
1412,ICZN,VU
1413,ICZN,EN
1414,ICZN,VU
1415,ICZN,VU
1416,ICZN,VU
1417,ICZN,VU
1418,ICZN,VU
1419,ICZN,VU
1420,ICZN,VU
1421,ICZN,VU
1422,ICZN,VU
1423,ICZN,VU
1424,ICZN,EN
1425,ICZN,VU
1426,ICZN,CR
1427,ICZN,CR
1428,ICZN,VU
1429,ICZN,VU
1430,ICZN,VU
1431,ICZN,VU
1432,ICZN,VU
1433,ICZN,VU
1434,ICZN,CR
1435,ICZN,VU
1436,ICZN,VU
1437,ICZN,EN
1438,ICZN,VU
1439,ICZN,VU
1440,ICZN,EN
1441,ICZN,VU
1442,ICZN,VU
1443,ICZN,VU
1444,ICZN,VU
1445,ICZN,VU
1446,ICZN,VU
1447,ICZN,VU
1448,ICZN,VU
1449,ICZN,EN
1450,ICZN,VU
1451,ICZN,VU
1452,ICZN,VU
1453,ICZN,EN
1454,ICZN,VU
1455,ICZN,VU
1456,ICZN,VU
1457,ICZN,VU
1458,ICZN,VU
1459,ICZN,VU
1460,ICZN,VU
1461,ICZN,VU
1462,ICZN,VU
1463,ICZN,VU
1464,ICZN,VU
1465,ICZN,VU
1466,ICZN,VU
1467,ICZN,VU
