codigo_int,genero,epiteto_especifico,epiteto_intraespecifico,nombre_vernaculo,codigo_clasificacion
748,Masdevallia,pachyantha,NA,NA,CS748
749,Masdevallia,pachysepala,NA,NA,CS749
750,Masdevallia,pardina,NA,NA,CS750
751,Masdevallia,pastinata,NA,NA,CS751
752,Masdevallia,pescadoensis,NA,NA,CS752
753,Masdevallia,pteroglossa,NA,NA,CS753
754,Masdevallia,pterygiophora,NA,NA,CS754
755,Masdevallia,purpurella,NA,NA,CS755
756,Masdevallia,racemosa,NA,NA,CS756
757,Masdevallia,renzii,NA,NA,CS757
758,Masdevallia,rhinophora,NA,NA,CS758
759,Masdevallia,saltatrix,NA,NA,CS759
760,Masdevallia,sanctae-rosae,NA,NA,CS760
761,Masdevallia,schizantha,NA,NA,CS761
762,Masdevallia,schlimii,NA,NA,CS762
763,Masdevallia,schmidt-mummii,NA,NA,CS763
764,Masdevallia,scobina,NA,NA,CS764
765,Masdevallia,segurae,NA,NA,CS765
766,Masdevallia,sernae,NA,NA,CS766
767,Masdevallia,siphonantha,NA,NA,CS767
768,Masdevallia,stenorhynchos,NA,NA,CS768
769,Masdevallia,sumapazensis,NA,NA,CS769
770,Masdevallia,trochilus,NA,Colibrí,CS770
771,Masdevallia,urceolaris,NA,NA,CS771
772,Masdevallia,valenciae,NA,NA,CS772
773,Masdevallia,velella,NA,NA,CS773
774,Masdevallia,velifera,NA,NA,CS774
775,Masdevallia,ventricularia,NA,NA,CS775
776,Masdevallia,vieirana,NA,NA,CS776
777,Masdevallia,virgo-cuencae,NA,NA,CS777
778,Masdevallia,wuellneri,NA,NA,CS778
779,Masdevallia,xanthina,NA,NA,CS779
780,Masdevallia,zapatae,NA,NA,CS780
781,Miltoniopsis,phalaenopsis,NA,Santa Bárbara | Pensamiento de monte,CS781
782,Miltoniopsis,vexillaria,NA,Josefina | Orquídea pensamiento,CS782
783,Odontoglossum,aspidorhinum,NA,NA,CS783
784,Odontoglossum,blandum,NA,NA,CS784
785,Odontoglossum,crinitum,NA,NA,CS785
786,Odontoglossum,crocidipterum,NA,NA,CS786
787,Odontoglossum,gloriosum,NA,NA,CS787
788,Odontoglossum,harryanum,NA,NA,CS788
789,Odontoglossum,mirandum,NA,NA,CS789
790,Odontoglossum,naevium,NA,NA,CS790
791,Odontoglossum,nevadense,NA,NA,CS791
792,Odontoglossum,povedanum,NA,NA,CS792
793,Odontoglossum,praenitens,NA,NA,CS793
794,Odontoglossum,revolutum,NA,NA,CS794
795,Odontoglossum,rhynchanthum,NA,NA,CS795
796,Odontoglossum,subuligerum,NA,NA,CS796
797,Odontoglossum,tripudians,NA,NA,CS797
798,Odontoglossum,wallisii,NA,NA,CS798
799,Oncidium,alberti,NA,NA,CS799
800,Oncidium,alvarezii,NA,NA,CS800
801,Oncidium,auriculatum,NA,NA,CS801
802,Oncidium,cuculligerum,NA,NA,CS802
803,Oncidium,decorum,NA,NA,CS803
804,Oncidium,nevadense,NA,NA,CS804
805,Oncidium,nobile,NA,NA,CS805
806,Oncidium,panduratoides,NA,NA,CS806
807,Oncidium,povedanum,NA,NA,CS807
808,Otoglossum,arminii,NA,NA,CS808
809,Peristeria,cochlearis,NA,NA,CS809
810,Phragmipedium,schlimii,NA,NA,CS810
811,Pleurothallis,killipii,NA,NA,CS811
812,Pleurothallis,mundula,NA,NA,CS812
813,Polycycnis,lehmannii,NA,NA,CS813
814,Polycycnis,villegasiana,NA,NA,CS814
815,Pterichis,colombiana,NA,NA,CS815
816,Restrepia,aristulifera,NA,NA,CS816
817,Restrepia,aspasicensis,NA,NA,CS817
818,Restrepia,chameleon,NA,NA,CS818
819,Restrepia,chocoensis,NA,NA,CS819
820,Restrepia,chrysoglossa,NA,NA,CS820
821,Restrepia,cuprea,NA,NA,CS821
822,Restrepia,echinata,NA,NA,CS822
823,Restrepia,echo,NA,NA,CS823
824,Restrepia,escobariana,NA,NA,CS824
825,Restrepia,falkenbergii,NA,NA,CS825
826,Restrepia,limbata,NA,NA,CS826
827,Restrepia,metae,NA,NA,CS827
828,Restrepia,nittiorhyncha,NA,NA,CS828
829,Restrepia,pandurata,NA,NA,CS829
830,Restrepia,purpurea,NA,NA,CS830
831,Restrepia,sanguinea,NA,NA,CS831
832,Restrepia,seketii,NA,NA,CS832
833,Restrepia,tabeae,NA,NA,CS833
834,Restrepia,tsubotae,NA,NA,CS834
835,Sievekingia,colombiana,NA,NA,CS835
836,Sievekingia,filifera,NA,NA,CS836
837,Stanhopea,platyceras,NA,NA,CS837
838,Stanhopea,shuttleworthii,NA,NA,CS838
839,Stanhopea,tolimensis,NA,NA,CS839
840,Sigmatostalix,pandurata,NA,NA,CS840
841,Trevoria,chloris,NA,NA,CS841
842,Trigonochilum,bachmannii,NA,NA,CS842
843,Aechmea,andaquiensis,NA,NA,CS843
844,Aechmea,anomala,NA,NA,CS844
845,Aechmea,baudoensis,NA,NA,CS845
846,Aechmea,confertiflora,NA,NA,CS846
847,Aechmea,confusa,NA,NA,CS847
848,Aechmea,politii,NA,NA,CS848
849,Aechmea,romeroi,NA,NA,CS849
850,Aechmea,tessmannii,NA,NA,CS850
851,Aechmea,zebrina,NA,NA,CS851
852,Billbergia,ambigua,NA,NA,CS852
853,Billbergia,macrolepis,NA,NA,CS853
854,Billbergia,rupestris,NA,NA,CS854
855,Brewcaria,reflexa,NA,NA,CS855
856,Bromelia,fragilis,NA,NA,CS856
857,Bromelia,nidus-puellae,NA,NA,CS857
858,Bromelia,trianae,NA,NA,CS858
859,Greigia,aristeguietae,NA,NA,CS859
860,Greigia,columbiana,NA,NA,CS860
861,Greigia,mulfordii,NA,NA,CS861
862,Greigia,collina,NA,NA,CS862
863,Greigia,danielii,NA,NA,CS863
864,Greigia,nubigena,NA,NA,CS864
865,Greigia,ocellata,NA,NA,CS865
866,Guzmania,attenuata,NA,NA,CS866
867,Guzmania,bakeri,NA,NA,CS867
868,Guzmania,betancurii,NA,NA,CS868
869,Guzmania,breviscapa,NA,NA,CS869
870,Guzmania,cylindrica,NA,NA,CS870
871,Guzmania,delicatula,NA,NA,CS871
872,Guzmania,formosa,NA,NA,CS872
873,Guzmania,goudotiana,NA,NA,CS873
874,Guzmania,hitchcockiana,NA,NA,CS874
875,Guzmania,longipetala,NA,NA,CS875
876,Guzmania,pallida,NA,NA,CS876
877,Guzmania,palustris,NA,NA,CS877
878,Guzmania,polycephala,NA,NA,CS878
879,Guzmania,radiata,NA,NA,CS879
880,Guzmania,regalis,NA,NA,CS880
881,Guzmania,rugosa,NA,NA,CS881
882,Guzmania,wittmackii,NA,NA,CS882
883,Hohenbergia,andina,NA,NA,CS883
884,Mezobromelia,bicolor,NA,NA,CS884
885,Pepinia,alborubra,NA,NA,CS885
886,Pepinia,cuatrecasana,NA,NA,CS886
887,Pepinia,heliophila,NA,NA,CS887
888,Pepinia,juncoides,NA,NA,CS888
889,Pepinia,killipiana,NA,NA,CS889
890,Pepinia,pectinata,NA,NA,CS890
891,Pepinia,quesnelioides,NA,NA,CS891
892,Pitcairnia,altoatratoensis,NA,NA,CS892
893,Pitcairnia,alversonii,NA,NA,CS893
894,Pitcairnia,arenicola,NA,NA,CS894
895,Pitcairnia,barrigae,NA,NA,CS895
896,Pitcairnia,basincurva,NA,NA,CS896
897,Pitcairnia,delicata,NA,NA,CS897
898,Pitcairnia,dolichopetala,NA,NA,CS898
899,Pitcairnia,elongata,NA,NA,CS899
900,Pitcairnia,fluvialis,NA,NA,CS900
901,Pitcairnia,foreroi,NA,NA,CS901
902,Pitcairnia,fosteriana,NA,NA,CS902
903,Pitcairnia,grubbiana,NA,NA,CS903
904,Pitcairnia,guaritermae,NA,NA,CS904
905,Pitcairnia,huilensis,NA,NA,CS905
906,Pitcairnia,jaramilloi,NA,NA,CS906
907,Pitcairnia,johannis,NA,NA,CS907
908,Pitcairnia,kniphofioides,NA,NA,CS908
909,Pitcairnia,lindae,NA,NA,CS909
910,Pitcairnia,macrobotrys,NA,NA,CS910
911,Pitcairnia,occidentalis,NA,NA,CS911
912,Pitcairnia,palmoides,NA,NA,CS912
913,Pitcairnia,petraea,NA,NA,CS913
914,Pitcairnia,poortmanii,NA,NA,CS914
915,Pitcairnia,ramosii,NA,NA,CS915
916,Pitcairnia,rigida,NA,NA,CS916
917,Pitcairnia,schultzei,NA,NA,CS917
