id_nomenclatura,estado_amenaza,codigo_int
ICN,VU,578
ICN,VU,579
ICN,VU,580
ICN,EN,581
ICN,CR,582
ICN,CR,583
ICN,CR,584
ICN,CR,585
ICN,VU,586
ICN,VU,587
ICN,VU,588
ICN,VU,589
ICN,EN,590
ICN,CR,591
ICN,EN,592
ICN,EN,593
ICN,CR,594
ICN,EN,595
ICN,CR,596
ICN,VU,597
ICN,EN,598
ICN,VU,599
ICN,EN,600
ICN,VU,601
ICN,EN,602
ICN,EN,603
ICN,EN,604
ICN,EN,605
ICN,CR,606
ICN,CR,607
ICN,CR,608
ICN,CR,609
ICN,VU,610
ICN,EN,611
ICN,VU,612
ICN,CR,613
ICN,CR,614
ICN,VU,615
ICN,VU,616
ICN,EN,617
ICN,VU,618
ICN,EN,619
ICN,EN,620
ICN,EN,621
ICN,VU,622
ICN,VU,623
ICN,VU,624
ICN,VU,625
ICN,EN,626
ICN,VU,627
ICN,VU,628
ICN,EN,629
ICN,VU,630
ICN,VU,631
ICN,EN,632
ICN,VU,633
ICN,VU,634
ICN,VU,635
ICN,VU,636
ICN,VU,637
ICN,VU,638
ICN,VU,639
ICN,VU,640
ICN,VU,641
ICN,VU,642
ICN,CR,643
ICN,EN,644
ICN,VU,645
ICN,VU,646
ICN,EN,647
ICN,EN,648
ICN,EN,649
ICN,EN,650
ICN,VU,651
ICN,VU,652
ICN,VU,653
ICN,VU,654
ICN,VU,655
ICN,EN,656
ICN,VU,657
ICN,VU,658
ICN,EN,659
ICN,EN,660
ICN,VU,661
ICN,VU,662
ICN,VU,663
ICN,VU,664
ICN,VU,665
ICN,VU,666
ICN,CR,667
ICN,CR,668
ICN,EN,669
ICN,EN,670
ICN,VU,671
ICN,EN,672
ICN,EN,673
ICN,EN,674
ICN,EN,675
ICN,EN,676
ICN,EN,677
ICN,VU,678
ICN,CR,679
ICN,CR,680
ICN,VU,681
ICN,CR,682
ICN,EN,683
ICN,EN,684
ICN,CR,685
ICN,VU,686
ICN,EN,687
ICN,EN,688
ICN,EN,689
ICN,EN,690
ICN,EN,691
ICN,EN,692
ICN,EN,693
ICN,VU,694
ICN,EN,695
ICN,VU,696
ICN,VU,697
ICN,VU,698
ICN,VU,699
ICN,CR,700
ICN,EN,701
ICN,VU,702
ICN,EN,703
ICN,CR,704
ICN,EN,705
ICN,EN,706
ICN,EN,707
ICN,VU,708
ICN,EN,709
ICN,EN,710
ICN,VU,711
ICN,EN,712
ICN,VU,713
ICN,VU,714
ICN,VU,715
ICN,EN,716
ICN,VU,717
ICN,EN,718
ICN,EN,719
ICN,EN,720
ICN,EN,721
ICN,VU,722
ICN,VU,723
ICN,EN,724
ICN,VU,725
ICN,EN,726
ICN,EN,727
ICN,VU,728
ICN,EN,729
ICN,VU,730
ICN,EN,731
ICN,VU,732
ICN,VU,733
ICN,VU,734
ICN,EN,735
ICN,EN,736
ICN,VU,737
ICN,VU,738
ICN,EN,739
ICN,EN,740
ICN,VU,741
ICN,VU,742
ICN,CR,743
ICN,VU,744
ICN,VU,745
ICN,VU,746
ICN,VU,747
ICN,VU,748
ICN,EN,749
ICN,VU,750
ICN,VU,751
ICN,EN,752
ICN,VU,753
ICN,EN,754
ICN,VU,755
ICN,VU,756
ICN,VU,757
ICN,VU,758
ICN,VU,759
ICN,VU,760
ICN,VU,761
ICN,VU,762
ICN,EN,763
ICN,EN,764
ICN,EN,765
ICN,VU,766
ICN,VU,767
ICN,EN,768
ICN,VU,769
ICN,VU,770
ICN,EN,771
ICN,EN,772
ICN,VU,773
ICN,EN,774
ICN,EN,775
ICN,VU,776
ICN,VU,777
ICN,VU,778
ICN,VU,779
ICN,EN,780
ICN,VU,781
ICN,VU,782
ICN,VU,783
ICN,VU,784
ICN,VU,785
ICN,VU,786
ICN,VU,787
ICN,EN,788
ICN,VU,789
ICN,VU,790
ICN,EN,791
ICN,CR,792
ICN,VU,793
ICN,VU,794
ICN,EN,795
ICN,VU,796
ICN,VU,797
ICN,VU,798
ICN,VU,799
ICN,CR,800
ICN,VU,801
ICN,EN,802
ICN,EN,803
ICN,CR,804
ICN,VU,805
ICN,EN,806
ICN,CR,807
ICN,VU,808
ICN,CR,809
ICN,EN,810
ICN,VU,811
ICN,EN,812
ICN,CR,813
ICN,CR,814
ICN,CR,815
ICN,VU,816
ICN,CR,817
ICN,VU,818
ICN,EN,819
ICN,VU,820
ICN,EN,821
ICN,VU,822
ICN,VU,823
ICN,VU,824
ICN,EN,825
ICN,VU,826
ICN,VU,827
ICN,EN,828
ICN,CR,829
ICN,VU,830
ICN,VU,831
ICN,VU,832
ICN,VU,833
ICN,EN,834
ICN,EN,835
ICN,EN,836
ICN,VU,837
ICN,VU,838
ICN,CR,839
ICN,EN,840
ICN,CR,841
ICN,VU,842
ICN,CR,843
ICN,CR,844
ICN,CR,845
ICN,EN,846
ICN,EN,847
ICN,VU,848
ICN,EN,849
ICN,EN,850
ICN,EN,851
ICN,CR,852
ICN,VU,853
ICN,VU,854
ICN,VU,855
ICN,CR,856
ICN,CR,857
ICN,CR,858
ICN,VU,859
ICN,VU,860
ICN,VU,861
ICN,VU,862
ICN,VU,863
ICN,CR,864
ICN,CR,865
ICN,VU,866
ICN,CR,867
ICN,EN,868
ICN,EN,869
ICN,EN,870
ICN,EN,871
ICN,EN,872
ICN,VU,873
ICN,VU,874
ICN,VU,875
ICN,EN,876
ICN,EN,877
ICN,VU,878
ICN,VU,879
ICN,VU,880
ICN,EN,881
ICN,VU,882
ICN,EN,883
ICN,CR,884
ICN,EN,885
ICN,VU,886
ICN,VU,887
ICN,VU,888
ICN,EN,889
ICN,EN,890
ICN,EN,891
ICN,CR,892
ICN,EN,893
ICN,CR,894
ICN,CR,895
ICN,EN,896
ICN,CR,897
ICN,VU,898
ICN,VU,899
ICN,EN,900
ICN,CR,901
ICN,CR,902
ICN,CR,903
ICN,EN,904
ICN,EN,905
ICN,CR,906
ICN,CR,907
ICN,VU,908
ICN,CR,909
ICN,CR,910
ICN,CR,911
ICN,VU,912
ICN,EN,913
ICN,VU,914
ICN,CR,915
ICN,EN,916
ICN,VU,917
ICN,EN,918
ICN,EN,919
ICN,EN,920
ICN,EN,921
ICN,EN,922
ICN,CR,923
ICN,CR,924
ICN,EN,925
ICN,CR,926
ICN,CR,927
ICN,VU,928
ICN,CR,929
ICN,EN,930
ICN,CR,931
ICN,EN,932
ICN,CR,933
ICN,EN,934
ICN,VU,935
ICN,EN,936
ICN,EN,937
ICN,EN,938
ICN,EN,939
ICN,EN,940
ICN,CR,941
ICN,EN,942
ICN,EN,943
ICN,VU,944
ICN,EN,945
ICN,EN,946
ICN,CR,947
ICN,CR,948
ICN,CR,949
ICN,CR,950
ICN,CR,951
ICN,EN,952
ICN,CR,953
ICN,CR,954
ICN,CR,955
ICN,CR,956
ICN,EN,957
ICN,CR,958
ICN,VU,959
ICN,EN,960
ICN,CR,961
ICN,EN,962
ICN,EN,963
ICN,CR,964
ICN,EN,965
ICN,EN,966
ICN,CR,967
ICN,VU,968
ICN,CR,969
ICN,CR,970
ICN,CR,971
ICN,CR,972
ICN,EN,973
ICN,EN,974
ICN,CR,975
ICN,EN,976
ICN,CR,977
ICN,CR,978
ICN,VU,979
ICN,EN,980
ICN,VU,981
ICN,CR,982
ICN,EN,983
ICN,VU,984
ICN,CR,985
ICN,CR,986
ICN,VU,987
ICN,EN,988
ICN,VU,989
ICN,CR,990
ICN,VU,991
ICN,EN,992
ICN,VU,993
ICN,EN,994
ICN,EN,995
ICN,CR,996
ICN,EN,997
ICN,CR,998
ICN,EN,999
ICN,CR,1000
ICN,CR,1001
ICN,EN,1002
ICN,CR,1003
ICN,CR,1004
ICN,CR,1005
ICN,EN,1006
ICN,EN,1007
ICN,EN,1008
ICN,EN,1009
ICN,EN,1010
ICN,CR,1011
ICN,CR,1012
ICN,EN,1013
ICN,EN,1014
ICN,CR,1015
ICN,EN,1016
ICN,CR,1017
ICN,EN,1018
ICN,VU,1019
ICN,CR,1020
ICN,EN,1021
ICN,EN,1022
ICN,EN,1023
ICN,CR,1024
ICN,CR,1025
ICN,EN,1026
ICN,EN,1027
ICN,EN,1028
ICN,VU,1029
ICN,VU,1030
ICN,VU,1031
ICN,EN,1032
ICN,EN,1033
ICN,VU,1034
ICN,CR,1035
ICN,CR,1036
ICN,EN,1037
ICN,CR,1038
ICN,VU,1039
ICN,VU,1040
ICN,CR,1041
ICN,CR,1042
ICN,EN,1043
ICN,EN,1044
ICN,EN,1045
ICN,VU,1046
ICN,CR,1047
ICN,VU,1048
ICN,VU,1049
ICN,EN,1050
ICN,EN,1051
ICN,CR,1052
ICN,VU,1053
ICN,EN,1054
ICN,EN,1055
ICN,VU,1056
ICN,CR,1057
ICN,CR,1058
ICN,VU,1059
ICN,EN,1060
ICN,EN,1061
ICN,EN,1062
ICN,VU,1063
ICN,VU,1064
ICN,VU,1065
ICN,EN,1066
ICN,EN,1067
ICN,CR,1068
ICN,EN,1069
ICN,CR,1070
ICN,VU,1071
ICN,EN,1072
ICN,EN,1073
ICN,EN,1074
ICN,CR,1075
ICN,CR,1076
ICN,CR,1077
ICN,VU,1078
ICN,EN,1079
ICN,CR,1080
ICN,VU,1081
ICN,VU,1082
ICN,EN,1083
