CLASIFICACION SUPEROR ,,,,,
,,,,,
Codigo TAXONOMICO,REINO,FILIO,CLASE ,ORDEN,FAMILIA 
CS103,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae
CS104,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae
CS105,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae
CS106,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae
CS107,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae
CS108,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae
CS109,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae
CS110,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae
CS111,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae
CS112,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae
CS113,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae
CS114,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae
CS115,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae
CS116,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae
CS117,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Balantiopsidaceae
CS118,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Balantiopsidaceae
CS119,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Cephaloziaceae
CS120,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Cephaloziellaceae
CS121,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Cephaloziellaceae
CS122,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Lepidoziaceae
CS123,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Lepidoziaceae
CS124,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Pseudolepicoleaceae
CS125,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Pseudolepicoleaceae
CS126,Plantae,Marchantiophyta,Jungermanniopsida,Metzgeriales,Metzgeriaceae
CS127,Plantae,Marchantiophyta,Jungermanniopsida,Porellales,Lejeuneaceae
CS128,Plantae,Marchantiophyta,Jungermanniopsida,Porellales,Lejeuneaceae
CS129,Plantae,Marchantiophyta,Jungermanniopsida,Porellales,Lejeuneaceae
CS130,Plantae,Marchantiophyta,Jungermanniopsida,Porellales,Lejeuneaceae
CS131,Plantae,Marchantiophyta,Jungermanniopsida,Porellales,Lejeuneaceae
CS132,Plantae,Marchantiophyta,Jungermanniopsida,Porellales,Lejeuneaceae
CS133,Plantae,Marchantiophyta,Jungermanniopsida,Porellales,Lejeuneaceae
CS134,Plantae,Marchantiophyta,Jungermanniopsida,Porellales,Lejeuneaceae
CS135,Plantae,Marchantiophyta,Jungermanniopsida,Porellales,Lejeuneaceae
CS136,Plantae,Marchantiophyta,Jungermanniopsida,Porellales,Lejeuneaceae
CS137,Plantae,Marchantiophyta,Jungermanniopsida,Porellales,Lejeuneaceae
CS138,Plantae,Marchantiophyta,Jungermanniopsida,Porellales,Porellaceae
CS139,Plantae,Marchantiophyta,Marchantiopsida,Marchantiales,Ricciaceae
CS140,Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae
CS141,Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae
CS142,Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae
CS143,Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae
CS144,Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae
CS145,Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae
CS146,Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae
CS147,Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae
CS148,Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae
CS149,Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae
CS150,Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae
CS151,Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae
CS152,Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae
CS153,Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae
CS154,Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae
CS155,Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae
CS156,Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae
CS157,Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae
CS158,Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae
CS159,Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae
CS160,Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae
CS161,Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae
CS162,Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae
CS163,Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae
CS164,Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae
CS165,Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae
CS166,Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae
CS167,Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae
CS168,Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae
CS169,Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae
CS170,Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae
CS171,Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae
CS172,Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae
CS173,Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae
CS174,Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae
CS175,Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae
CS176,Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae
CS177,Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae
CS178,Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae
