Tabla Normalizada Codigos ,,
CODIGO,Codigo TAXONOMICO,Taxonomia
1210,CS1210,T1210
1211,CS1211,T1211
1212,CS1212,T1212
1213,CS1213,T1213
1214,CS1214,T1214
1215,CS1215,T1215
1216,CS1216,T1216
1217,CS1217,T1217
1218,CS1218,T1218
1219,CS1219,T1219
1220,CS1220,T1220
1221,CS1221,T1221
1222,CS1222,T1222
1223,CS1223,T1223
1224,CS1224,T1224
1225,CS1225,T1225
1226,CS1226,T1226
1227,CS1227,T1227
1228,CS1228,T1228
1229,CS1229,T1229
1230,CS1230,T1230
1231,CS1231,T1231
1232,CS1232,T1232
1233,CS1233,T1233
1234,CS1234,T1234
1235,CS1235,T1235
1236,CS1236,T1236
1237,CS1237,T1237
1238,CS1238,T1238
1239,CS1239,T1239
1240,CS1240,T1240
1241,CS1241,T1241
1242,CS1242,T1242
1243,CS1243,T1243
1244,CS1244,T1244
1245,CS1245,T1245
1246,CS1246,T1246
1247,CS1247,T1247
1248,CS1248,T1248
1249,CS1249,T1249
1250,CS1250,T1250
1251,CS1251,T1251
1252,CS1252,T1252
1253,CS1253,T1253
1254,CS1254,T1254
1255,CS1255,T1255
1256,CS1256,T1256
1257,CS1257,T1257
1258,CS1258,T1258
1259,CS1259,T1259
1260,CS1260,T1260
1261,CS1261,T1261
1262,CS1262,T1262
1263,CS1263,T1263
1264,CS1264,T1264
1265,CS1265,T1265
1266,CS1266,T1266
1267,CS1267,T1267
1268,CS1268,T1268
1269,CS1269,T1269
1270,CS1270,T1270
1271,CS1271,T1271
1272,CS1272,T1272
1273,CS1273,T1273
1274,CS1274,T1274
1275,CS1275,T1275
1276,CS1276,T1276
1277,CS1277,T1277
1278,CS1278,T1278
1279,CS1279,T1279
1280,CS1280,T1280
1281,CS1281,T1281
1282,CS1282,T1282
1283,CS1283,T1283
1284,CS1284,T1284
1285,CS1285,T1285
1286,CS1286,T1286
1287,CS1287,T1287
1288,CS1288,T1288
1289,CS1289,T1289
1290,CS1290,T1290
1291,CS1291,T1291
1292,CS1292,T1292
1293,CS1293,T1293
1294,CS1294,T1294
1295,CS1295,T1295
1296,CS1296,T1296
1297,CS1297,T1297
1298,CS1298,T1298
1299,CS1299,T1299
1300,CS1300,T1300
1301,CS1301,T1301
1302,CS1302,T1302
1303,CS1303,T1303
1304,CS1304,T1304
1305,CS1305,T1305
1306,CS1306,T1306
1307,CS1307,T1307
1308,CS1308,T1308
1309,CS1309,T1309
1310,CS1310,T1310
